source,translated,language
translate to Hindi: Icon-View Options,इंटरफ़ेस विकल्प,Hindi
translate to Hindi: Whether thou ask forgiveness for them or ask not forgiveness for them is all one for them; Allah will not forgive them. Lo! Allah guideth not the evil-living folk.,उनके लिए बराबर है चाहे तुम उनके किए क्षमा की प्रार्थना करो या उनके लिए क्षमा की प्रार्थना न करो। अल्लाह उन्हें कदापि क्षमा न करेगा। निश्चय ही अल्लाह अवज्ञाकारियों को सीधा मार्ग नहीं दिखाया करता,Hindi
"translate to Hindi: D, down.","डी, नीचे.",Hindi
translate to Hindi: Translation along the X axis,X अक्ष पर अनुवाद,Hindi
"translate to Hindi: They said: ""O Shu'aib, does your piety teach that we should abandon what our fathers worshipped, or desist from doing what we like with our goods? How gracious a man of discernment you are indeed!""",वह लोग कहने लगे ऐ शुएब क्या तुम्हारी नमाज़ (जिसे तुम पढ़ा करते हो) तुम्हें ये सिखाती है कि जिन (बुतों) की परसतिश हमारे बाप दादा करते आए उन्हें हम छोड़ बैठें या हम अपने मालों में जो कुछ चाहे कर बैठें तुम ही तो बस एक बुर्दबार और समझदार (रह गए) हो,Hindi
"translate to Hindi: It is naught save an inspiration that is inspired,",ये तो बस वही है जो भेजी जाती है,Hindi
translate to Hindi: Select Page,चुनें पृष्ठ,Hindi
"translate to Hindi: They can pry out the gems, the rest is pure gold.","वे जवाहरात बाहर जिज्ञासा कर सकते हैं, बाकी शुद्ध सोने है।",Hindi
translate to Hindi: He raised the height thereof and ordered it;,कि उसी ने उसको बनाया उसकी छत को ख़ूब ऊँचा रखा,Hindi
translate to Hindi: I'll see your shameless beauty in between the gaps...,I'll see your shameless beauty in between the gaps...,Hindi
translate to Hindi: - You got it.,तुम यह मिल गया.,Hindi
translate to Hindi: Color of function 9,फंक्शन का रंग 9,Hindi
translate to Hindi: 9 Envelope 3 7/ 8 x 8 7/ 8 in,9 लिफाफा 3 7/ 8 x 8 7/ 8 इं.,Hindi
translate to Hindi: Default charset in which to display messages.,तयशुदा चारसेट जिसमें संदेश दिखाना है.,Hindi
"translate to Hindi: Proclaim (O dear Prophet Mohammed – peace and blessings be upon him), “If supposedly, the Most Gracious had an offspring* – I would be the first to worship!” (*Which is impossible)","कहो, ""यदि रहमान की कोई सन्तान होती तो सबसे पहले मैं (उसे) पूजता",Hindi
translate to Hindi: Show all locations,सभी स्थान दिखाएँ,Hindi
translate to Hindi: Send Options,विकल्प भेजें,Hindi
translate to Hindi: We bring a better verse or at least the like of it for whatever we abrogate or cause it to be forgotten.,(ऐ रसूल) हम जब कोई आयत मन्सूख़ करते हैं या तुम्हारे ज़ेहन से मिटा देते हैं तो उससे बेहतर या वैसी ही (और) नाज़िल भी कर देते हैं क्या तुम नहीं जानते कि बेशुबहा खुदा हर चीज़ पर क़ादिर है,Hindi
translate to Hindi: Cabinet (.cab),Cabinet (.cab),Hindi
translate to Hindi: Fingerprint:,फ़िंगरप्रिंट:,Hindi
translate to Hindi: Every nation has an appointed life span.,कोई समुदाय न तो अपने निर्धारित समय से आगे बढ़ सकता है और न पीछे रह सकता है,Hindi
translate to Hindi: Underline-Plain,रेखांकित सादा,Hindi
