source,translated,language
translate to Marathi: I like jazz music.,मला जॅज संगीत आवडतं.,Marathi
translate to Marathi: This is our problem.,ही आपली समस्या आहे.,Marathi
translate to Marathi: Kenji plays tennis.,केन्जी टेनिस खेळतो.,Marathi
translate to Marathi: Question message box with yes/ no/ cancel buttons,होय/ नाही/ रद्द बटणसह प्रश्न संदेश पेटी,Marathi
translate to Marathi: Tatar,तातारName,Marathi
translate to Marathi: ^Clean package cache,स्वच्छ पॅकेज अस्थाई स्मृतीकोष.,Marathi
translate to Marathi: Titlebar wheel event:,शिर्षकपट्टी व्हील घटना:,Marathi
translate to Marathi: CDE,CDEComment,Marathi
translate to Marathi: Modified diagrams exist. Are you sure you want to quit Dia without saving them?,संपादीत आकृती अस्तित्वात आहे. तुम्हाला नक्की न साठवता Dia पासून बाहेर पडायचे?,Marathi
"translate to Marathi: There are so many mistakes in this book that the teacher has dubbed it ""The Drunkard's Edition"".","या पुस्तकात इतक्या चुका आहेत की त्या शिक्षकाने याला ""दारुड्याची आवृत्ती"" असं नाव दिलेलं.",Marathi
translate to Marathi: I cannot neigh like a horse. I'm a donkey!,मी घोड्यासारखा खिंकाळू शकत नाही. मी गाढव आहे!,Marathi
translate to Marathi: Theme,थिम@ title: column,Marathi
translate to Marathi: Tom and Mary are both wearing black.,टॉम व मेरी दोघांनी काळे कपडे घातले आहेत.,Marathi
translate to Marathi: The baby is looking for its mother.,बाळ आपल्या आईला शोधतंय.,Marathi
translate to Marathi: Will it be hot tomorrow?,उद्या गरम असणार आहे का?,Marathi
translate to Marathi: He fell asleep while reading a book.,तो पुस्तक वाचत असताना त्याला झोप लागली.,Marathi
translate to Marathi: I can't hear a word.,मला एकही शब्द ऐकू येत नाहीये.,Marathi
translate to Marathi: I've read some hundred books so far.,मी आतापर्यंत जवळजवळ शंभर पुस्तकं वाचली आहेत.,Marathi
translate to Marathi: & Foreground:,पृष्ठभूमी (F):,Marathi
translate to Marathi: the seven of spades,इस्पिकची सत्ती,Marathi
translate to Marathi: kcm_partition,kcm_ partition,Marathi
translate to Marathi: Black on White,पांढऱ्यावर काळा,Marathi
translate to Marathi: Bounce keys has been enabled or disabled,बाउन्स् कि कार्यान्वीत किंवा अकार्यान्वीत केले गेले आहेName,Marathi
translate to Marathi: Set the cursor to match the color of the character underneath it.,कर्सरला खालिल अक्षरच्यचा रंगशी जुळविण्याकरीता निश्चित करा.,Marathi
translate to Marathi: Could not find help directory,मदत डिरेक्ट्री आढळले नाही,Marathi
"translate to Marathi: This is the list of your bookmarks, for a faster access","जलद प्रवेश करीता, खालिल आपल्या आवडीनुरूप ओळखचिन्हाची सूची आहेName",Marathi
translate to Marathi: Always (use with care),नेहमी (काळजीपूर्वक वापर करा) (y),Marathi
translate to Marathi: I don't even have a boyfriend.,माझ्याकडे तर बॉयफ्रेंडही नाहीये.,Marathi
translate to Marathi: Singapore,सिंगापुरName,Marathi
translate to Marathi: There were ten eggs in all.,एकूण दहा अंडी होती.,Marathi
translate to Marathi: Small (%1x%2),लहान (% 1x% 2),Marathi
translate to Marathi: Use information specified here to login into proxy servers as needed.,प्रॉक्सी सर्वर वर आवश्यकता नुरूप दाखलन करण्याकरीता येथे प्रविष्ट केले गेलेली माहितीचा वापर करा.,Marathi
translate to Marathi: The climate of Japan is milder than that of India.,जपानचं हवामान भारतापेक्षा सौम्य आहे.,Marathi
translate to Marathi: Serif,सेरीफ@ item Font name,Marathi
translate to Marathi: Builds Qt widget plugins from an ini style description file.,ini शैली वर्णन फाइल पासून Qt विजेट प्लगइन बनवितो.,Marathi
translate to Marathi: Default & search engine:,मुलभूत सोध इंजीन (s):,Marathi
